"pmid","label","txt"
"1",21218043,1,"acute liver failure associated with occupational exposure to tetrachloroethylene </s> </s> tetrachloroethylene is a chlorinated solvent that is primarily used in dry cleaning and degreasing operations </s> although the hepatotoxicity caused by tetrachloroethylene has been well documented in literature it is rarely considered as a cause of acute liver failure </s> we report a case of a 39 yr old man who was admitted to our hospital for acute liver failure due to tetrachloroethylene exposure </s> histological examination of the liver revealed massive hepatic necrosis prominently in zone 3 of the hepatic lobules </s> the patient underwent supportive treatment along with 3 sessions of plasmapheresis and consequently he presented a favorable outcome </s> repeat liver biopsy performed 6 months after the patient discharge showed architectural distortion with postnecrotic cirrhosis </s> physicians should be aware of the possibility of acute liver failure induced by tetrachloroethylene </s> early plasmapheresis can be effective for individuals with sufficient capacity for hepatocyte regeneration </s>"
"2",26000001,0,"a successful pregnancy during the treatment of cervical sarcoma botryoides and advantage of fertility sparing management a case report </s> </s> background sarcoma botryoides of cervix is a rare variant of rhabdomyosarcomas rms of female genital tract </s> it is usually diagnosed in first or second decade of life </s> in this case report we aimed to present a 21 year old nulligravid patient who was diagnosed with embryonal rms of the cervix to discuss the treatment options that have been stated in the literature and to highlight the advantage of fertility sparing management in these young patients </s> case we report a 21 year old nulligravid woman complaining about a mass protruding from introitus which was represented with a 8x7 cm quot grape like quot cervical polyp on speculum examination </s> the histopathologic examination of the biopsy taken was combined with immunohistochemical staining with desmin myogenin s100 vimentin and myoglobin </s> colposcopy second biopsy and positron emission tomography were used during the follow up </s> the histopathologic examination revealed embryonal rms of cervix </s> she received three cycles of combination chemotherapy doxorubicin and ifosfamide </s> she refused to have a surgery because of an unplanned desired pregnancy at two months after the chemotherapy </s> she was lost during the follow up </s> after having an uneventful pregnancy and a successful delivery she reapplied at postpartum 6 th month </s> colposcopic evaluation revealed a local polypoid area the histopathologic examination of biopsy suggested recurrence even though positron emission tomography scans were unremarkable </s> therefore complementary treatment was planned as conization and pelvic lymphadenectomy </s> the histopathology revealed no residual tumor on the conization material and no involvement of pelvic lymph nodes </s> conclusion fertility sparing management including doxorubicin and ifosfamid combination in chemotherapy step can be management option </s> pregnancy and successful delivery is possible during the treatment </s> colposcopy has importance for early detection of recurrences </s>"
"3",23792523,1,"ast 17600 u l after liver transplantation what are you up to a case report </s> </s> background miscellaneous clinical classifications of liver function after liver transplantation are rested upon elevation of transaminases which represent damaging of hepatocytes and with it of the liver </s> case report we report the case of a 35 year old man suffering from hepatocellular carcinoma in the setting of alcoholic liver cirrhosis </s> the patient underwent liver transplantation and developed an extreme peak of transaminases due to prolonged cold ischemia time and additional extended donor criteria </s> on the first postoperative day the laboratory results showed peak transaminases as follows ast 17577 u l and alt 9884 u l frequent ultrasound revealed no signs of vascular complications </s> in spite of the dramatically elevated transaminases the liver showed a good primary function and the patient was cardiopulmonary stable </s> the entire postoperative course was uneventful </s> we discharged the patient after three weeks in a very good general state of health with normal laboratory values </s> conclusions exclusive extreme elevation of transaminases after liver transplantation combined with adequate liver synthesis does not always require re transplantation if situation of the patient is stable </s> nevertheless re transplantation should be reconsidered in any case of clinical deterioration of the patient </s>"
"4",25034585,0,"pulmonary benign metastasizing leiomyoma a clinicopathological study of 5 cases </s> </s> pulmonary benign metastasizing leiomyoma pbml is a rare and often to be misdiagnosed disease </s> in this study we want to investigate the diseased of the clinicopathological characteristics diagnosis treatment and prognosis </s> the retrospective analysis were performed on the clinicopathological data of 5 patients with pbml </s> all 5 cases were female mean age 4 years old and were found with single nodule </s> one case was found with left kidney metastasis </s> surgical procedures includes vats biopsy 3 cases resection of superior lobe of left lung 1 case resection of superior lobe of right lung and wedge resection of middle and inferior lobe of right lung 1 case </s> the residual nodules in lung were stable in all cases with followup 3 48 mo </s> pbml is dominated occurring in females with history of uterine leiomyoma preferential to metastasize to lung and surgery is the primary therapy </s> since it is hormone dependent hormonal therapy may be suggested in these patients </s>"
"5",25026126,0,"two novel mutations in acid a-glucosidase gene in two patients with pompe disease </s> </s> pompe disease is an autosomal recessive lysosomal glycogen storage disorder gsd caused by acid a-glucosidase gaa deficiency </s> pompe disease has a broad genotypic and phenotypic spectrum </s> the infantile onset form is the most severe form and presents with hypotonia and cardiomyopathy in early infancy </s> the probands who died were found to have gsd type ii based on clinical and biochemical findings </s> we report two families with pompe disease in whom the parents molecular analysis revealed two novel mutations c2045a gt g pq682r and c763c gt t pq255x </s>"
"6",24827653,1,"primary lymphoma of the gallbladder accompanied by cirrhosis ct and mri findings </s> </s> a 60 year old patient with cirrhosis due to chronic hepatitis b was admitted to the hospital for routine controls </s> an ultrasonographic examination demonstrated a soft tissue mass originating from the gallbladder </s> a ct scan and after 3 months a dynamic liver mri were performed for the possible diagnosis </s> based on these imaging studies laparoscopic cholecystectomy was performed </s> the histopathological examination diagnosed non hodgkin lymphoma </s>"
"7",24953587,0,"multidrug resistant tubercular liver abscess in ß-thalassemia </s> </s> background liver abscesses in thalassemics are predominantly pyogenic </s> case characteristics 12 year old thalassemic boy with abdominal pain and high grade fever for 15 days </s> observation ct abdomen revealed multiple liver abscesses </s> pus culture and sensitivity showed multidrug resistant mycobacteria </s> patient was started on second line anti tubercular drugs </s> outcome he responded well with symptomatic improvement and is doing well after 6 months of follow up </s> message liver abscess in patients with thalassemia rarely can be tubercular </s>"
"8",28197243,0,"alcapa in an octogenarian woman an enigma </s> </s> alcapa syndrome anomalous origin of the left coronary artery from the pulmonary artery is an exceedingly rare disease but lethal with clinical expression from myocardial infarction congestive heart failure to death during early infancy and rare survival to adulthood </s> a 75 year old woman with alcapa syndrome presented with angina canadian cardiovascular society functional class ii over past 8 months </s> physical examination was within normal limits except pan systolic murmur at the apex </s> electrocardiography displayed poor r progression in precordial leads and signs of left ventricular hypertrophy </s> echocardiography established presence of continuous flow entering the pulmonary trunk and normal systolic function </s> coronary angiogram showed absence of left coronary artery originating from aorta dilated and tortuous right coronary artery rca and abundant rentrop grade 3 intercoronary collateral communicating with left coronary artery originating from pulmonary trunk which was also confirmed on ct angiogram thus establishing diagnosis of alcapa </s> survival in eight decade with this anomaly is still an enigma </s>"
"9",25965349,0,"prospective investigation of the impact of west nile virus infections in renal diseases </s> </s> an increased incidence of chronic kidney disease ckd after west nile virus wnv infections has been suggested but the association of wnv infections with renal damage remain inconclusive </s> this study was undertaken to characterize wnv infections in individuals with acute kidney injury aki and ckd and to evaluate hemodialysis as a probable transmission route </s> a total of 463 plasma and urine samples were collected from 45 aki and 77 ckd patients </s> nested and real time polymerase chain reaction pcr assays were employed for viral rna detection </s> specific immunoglobulins were investigated via immunofluorescence and plaque reduction neutralization assays </s> consecutive pre and post dialysis samples were evaluated in ckd cases </s> wnv rna and specific immunoglobulins were detected in 7 and 5 individuals respectively </s> the aki patients with wnv rna in blood and urine had underlying diseases requiring immunosuppressive therapy and demonstrated moderate to high viral loads </s> no clinical symptom related to wnv infection were observed in ckd cases with detectable viral nucleic acids </s> all wnv sequences were characterized as lineage 1 clade 1a and several amino acid substitutions with unknown impact were noted </s> detailed epidemiologic investigation of wnv rna positive ckd cases revealed probable vector borne virus exposure without the evidence for transmission via hemodialysis </s>"
"10",29210543,1,"living donor liver transplantation in an elderly recipient with preserved performance status a case report </s> </s> living donor liver transplantation ldlt in an elderly recipient is controversial </s> abstracttext living donor liver transplantation ldlt in an elderly recipient is controversial </s> we report a case of ldlt in a 74 year old female who had decompensated liver cirrhosis and hepatocellular carcinoma hcc </s> she was the oldest recipient who received ldlt in japan ever </s> she was rejected for ldlt at a nearby hospital because of her age </s> we decided to perform ldlt because her general condition was good the eastern cooperative oncology group ecog performance status 2 </s> the surgery was uncomplicated and the postoperative course was uneventful and the patient was discharged 35 days after the surgery </s> currently she is living at home and she has maintained a good quality of life </s> abstracttext we report a case of ldlt in a 74 year old female who had decompensated liver cirrhosis and hepatocellular carcinoma hcc </s> she was the oldest recipient who received ldlt in japan ever </s> she was rejected for ldlt at a nearby hospital because of her age </s> we decided to perform ldlt because her general condition was good the eastern cooperative oncology group ecog performance status 2 </s> the surgery was uncomplicated and the postoperative course was uneventful and the patient was discharged 35 days after the surgery </s> currently she is living at home and she has maintained a good quality of life </s> we believe that a recipient in good general condition is capable of undergoing ldlt despite advanced age </s> abstracttext we believe that a recipient in good general condition is capable of undergoing ldlt despite advanced age </s>"
